CongNumb,Year,ICPSR,StateCode,District,State,Party,Name,IdeologicalRank,TotalReceipts,TotalReceipts2,Representative
112,2012,40909,40,0,VIRGINI,100,WARNER,-0.254,0,0,
112,2012,20726,33,1,MINNESO,100,WALZ,-0.281,1976000,1.976,"WALZ, TIMOTHY J."
112,2012,21126,21,8,ILLINOI,200,WALSH,0.995,2011000,2.011,"WALSH, JOE"
112,2012,29932,72,2,OREGON,200,WALDEN,0.613,2737000,2.737,"WALDEN, GREGORY P MR."
112,2012,20725,23,7,MICHIGA,200,WALBERG,0.68,1534000,1.534,"WALBERG, TIMOTHY L. HON."
112,2012,29918,45,0,LOUISIA,200,VITTER,0.623,0,0,
112,2012,15124,22,1,INDIANA,100,VISCLOSKY,-0.437,785000,0.785,"VISCLOSKY, PETER J."
112,2012,29378,13,12,NEW YOR,100,VELAZQUEZ,-0.534,675000,0.675,"VELAZQUEZ, NYDIA M."
112,2012,20330,52,8,MARYLAN,100,VAN HOLLE,-0.333,1634000,1.634,"VAN HOLLEN, CHRIS"
112,2012,15446,23,6,MICHIGA,200,UPTON,0.652,4130000,4.13,"UPTON, FREDERICK STEPHEN"
112,2012,29906,62,0,COLORAD,100,UDALL,-0.284,0,0,
112,2012,29924,66,0,NEW MEX,100,UDALL,-0.429,0,0,
112,2012,21197,13,9,NEW YOR,200,TURNER,0.432,925000,0.925,"TURNER, ROBERT L"
112,2012,20342,24,3,OHIO,200,TURNER,0.438,1232000,1.232,"TURNER, ROBERT L"
112,2012,20754,3,5,MASSACH,100,TSONGAS,-0.398,1607000,1.607,"TSONGAS, NICOLA S"
112,2012,15072,13,10,NEW YOR,100,TOWNS,-0.471,771000,0.771,"TOWNSEND, LESTER I."
112,2012,29935,14,0,PENNSYL,200,TOOMEY,0.654,0,0,
112,2012,20934,13,21,NEW YOR,100,TONKO,-0.419,975000,0.975,"TONKO, PAUL DAVID"
112,2012,21111,62,3,COLORAD,200,TIPTON,0.664,2342000,2.342,"TIPTON, SCOTT R."
112,2012,29730,3,6,MASSACH,100,TIERNEY,-0.503,16000,0.016,"TIERNEY, THOMAS P"
112,2012,20130,24,12,OHIO,200,TIBERI,0.618,3376000,3.376,"TIBERI, PATRICK J."
112,2012,29754,37,0,SOUTH D,200,THUNE,0.483,0,0,
112,2012,29572,49,13,TEXAS,200,THORNBER,0.749,1092000,1.092,"THORNBERRY, MAC"
112,2012,29901,71,1,CALIFOR,100,THOMPSON,-0.418,1811000,1.811,"THOMPSON, TOMMY G"
112,2012,29368,46,2,MISSISS,100,THOMPSON,-0.447,1208000,1.208,"THOMPSON, TOMMY G"
112,2012,20946,14,5,PENNSYL,200,THOMPSON,0.458,1264000,1.264,"THOMPSON, TOMMY G"
112,2012,40702,64,0,MONTANA,100,TESTER,-0.276,11913000,11.913,"TESTER, JON"
112,2012,29921,35,2,NEBRASK,200,TERRY,0.67,2036000,2.036,"TERRY, LEE"
112,2012,20740,24,13,OHIO,100,SUTTON,-0.426,2524000,2.524,"SUTTON, BETTY S"
112,2012,20131,53,1,OKLAHOM,200,SULLIVAN,0.701,1182000,1.182,"SULLIVAN, JOHN"
112,2012,21100,22,3,INDIANA,200,STUTZMAN,0.951,960000,0.96,"STUTZMAN, MARLIN A"
112,2012,21163,24,15,OHIO,200,STIVERS,0.46,2748000,2.748,"STIVERS, STEVE MR."
112,2012,15627,43,6,FLORIDA,200,STEARNS,0.814,713000,0.713,"STEARNS, CLIFFORD B."
112,2012,14053,71,13,CALIFOR,100,STARK,-0.715,940000,0.94,"STARK, FORTNEY HILLMAN JR"
112,2012,29732,23,0,MICHIGA,100,STABENOW,-0.362,10641000,10.641,"STABENOW, DEBBIE"
112,2012,20762,71,12,CALIFOR,100,SPEIER,-0.48,969000,0.969,"SPEIER, JACKIE"
112,2012,21114,43,2,FLORIDA,200,SOUTHERLA,0.803,1824000,1.824,"SOUTHERLAND, WILLIAM STEVE II"
112,2012,14661,2,0,MAINE,200,SNOWE,0.048,0,0,
112,2012,20729,35,3,NEBRASK,200,SMITH,0.679,1163000,1.163,"SMITH, ADRIAN"
112,2012,14863,12,4,NEW JER,200,SMITH,0.385,658000,0.658,"SMITH, CHRISTOPHER H."
112,2012,15445,49,21,TEXAS,200,SMITH,0.604,1727000,1.727,"SMITH, LAMAR"
112,2012,29768,73,9,WASHING,100,SMITH,-0.253,1146000,1.146,"SMITH, D ADAM"
112,2012,15444,13,28,NEW YOR,100,SLAUGHTE,-0.585,2279000,2.279,"SLAUGHTER, LOUISE M"
112,2012,20542,12,13,NEW JER,100,SIRES,-0.379,664000,0.664,"SIRES, ALBIO"
112,2012,29910,63,2,IDAHO,200,SIMPSON,0.432,1200000,1.2,"SIMPSON, MICHAEL K"
112,2012,20134,14,9,PENNSYL,200,SHUSTER,0.509,1675000,1.675,"SHUSTER, WILLIAM MR."
112,2012,20737,47,11,NORTH C,100,SHULER,-0.048,0,0,
112,2012,29718,21,19,ILLINOI,200,SHIMKUS,0.615,2108000,2.108,"SHIMKUS, JOHN M"
112,2012,29707,71,27,CALIFOR,100,SHERMAN,-0.391,3402000,3.402,"SHERMAN, BRAD"
112,2012,94659,41,0,ALABAMA,200,SHELBY,0.476,0,0,
112,2012,40906,4,0,NEW HAM,100,SHAHEEN,-0.341,0,0,
112,2012,21102,41,7,ALABAMA,100,SEWELL,-0.306,1205000,1.205,"SEWELL, TERRYCINA ANDREA"
112,2012,49700,41,0,ALABAMA,200,SESSIONS,0.559,0,0,
112,2012,29759,49,32,TEXAS,200,SESSIONS,0.798,1837000,1.837,"SESSIONS, PETE"
112,2012,29134,13,16,NEW YOR,100,SERRANO,-0.501,212000,0.212,"SERRANO, JOSE E"
112,2012,14657,25,5,WISCONS,200,SENSENBR,1.2,555000,0.555,"SENSENBRENNER, F JAMES JR"
112,2012,20321,44,13,GEORGIA,100,SCOTT,-0.346,977000,0.977,"SCOTT, DAVID ALBERT"
112,2012,21123,44,8,GEORGIA,200,SCOTT,0.789,1115000,1.115,"SCOTT, JAMES AUSTIN"
112,2012,21173,48,1,SOUTH C,200,SCOTT,0.867,1681000,1.681,"SCOTT, TIMOTHY"
112,2012,39307,40,3,VIRGINI,100,SCOTT,-0.417,451000,0.451,"SCOTT, ROBERT C"
112,2012,21105,61,5,ARIZONA,200,SCHWEIKERT,0.889,1983000,1.983,"SCHWEIKERT, DAVID"
112,2012,20525,14,13,PENNSYL,100,SCHWARTZ,-0.313,2911000,2.911,"SCHWARTZ, ALLYSON Y."
112,2012,14858,13,0,NEW YOR,100,SCHUMER,-0.427,0,0,
112,2012,20944,72,5,OREGON,100,SCHRADER,-0.233,1781000,1.781,"SCHRADER, KURT"
112,2012,20914,21,18,ILLINOI,200,SCHOCK,0.525,3227000,3.227,"SCHOCK, AARON JON MR."
112,2012,20540,24,2,OHIO,200,SCHMIDT,0.674,664000,0.664,"SCHMIDT, JEANNETTE H"
112,2012,21130,21,17,ILLINOI,200,SCHILLING,0.646,2602000,2.602,"SCHILLING, ROBERT T."
112,2012,20104,71,29,CALIFOR,100,SCHIFF,-0.323,1333000,1.333,"SCHIFF, ADAM"
112,2012,29911,21,9,ILLINOI,100,SCHAKOWS,-0.593,1351000,1.351,"SCHAKOWSKY, JANICE D"
112,2012,20759,45,1,LOUISIA,200,SCALISE,0.743,1437000,1.437,"SCALISE, STEVE MR."
112,2012,20724,52,3,MARYLAN,100,SARBANES,-0.413,1010000,1.01,"SARBANES, JOHN P. MR."
112,2012,29147,6,0,VERMONT,328,SANDERS,-0.643,6275000,6.275,"SANDERS, BERNARD"
112,2012,20310,71,39,CALIFOR,100,SANCHEZ,-0.512,1048000,1.048,"SANCHEZ, LINDA"
112,2012,29709,71,47,CALIFOR,100,SANCHEZ,-0.391,1683000,1.683,"SANCHEZ, LORETTA"
112,2012,20343,24,17,OHIO,100,RYAN,-0.42,991000,0.991,"RYAN, TIMOTHY"
112,2012,29939,25,1,WISCONS,200,RYAN,0.873,4995000,4.995,"RYAN, PAUL D."
112,2012,29346,21,1,ILLINOI,100,RUSH,-0.406,499000,0.499,"RUSH, BOBBY L"
112,2012,20329,52,2,MARYLAN,100,RUPPERSBE,-0.267,1408000,1.408,"RUPPERSBERGER, C.A. DUTCH"
112,2012,21153,12,3,NEW JER,200,RUNYAN,0.386,2080000,2.08,"RUNYAN, JON"
112,2012,41102,43,0,FLORIDA,200,RUBIO,0.619,0,0,
112,2012,29321,71,40,CALIFOR,200,ROYCE,0.923,2749000,2.749,"ROYCE, EDWARD R"
112,2012,29317,71,34,CALIFOR,100,ROYBAL-A,-0.407,581000,0.581,"ROYBAL-ALLARD, LUCILLE"
112,2012,29742,12,9,NEW JER,100,ROTHMAN,-0.358,1459000,1.459,"ROTHMAN, STEVEN R."
112,2012,20102,42,4,ARKANSA,100,ROSS,-0.09,0,0,
112,2012,21117,43,12,FLORIDA,200,ROSS,0.77,884000,0.884,"ROSS, DENNIS ALAN"
112,2012,20715,21,6,ILLINOI,200,ROSKAM,0.665,3278000,3.278,"ROSKAM, PETER"
112,2012,15634,43,18,FLORIDA,200,ROS-LEHT,0.486,2146000,2.146,"ROS-LEHTINEN, ILEANA"
112,2012,20910,43,16,FLORIDA,200,ROONEY,0.669,1097000,1.097,"ROONEY, TOM"
112,2012,21131,22,4,INDIANA,200,ROKITA,0.838,1321000,1.321,"ROKITA, THEODORE EDWARD"
112,2012,15621,71,46,CALIFOR,200,ROHRABAC,0.96,493000,0.493,"ROHRABACHER, DANA"
112,2012,20301,41,3,ALABAMA,200,ROGERS,0.426,1070000,1.07,"ROGERS, MICHAEL DENNIS"
112,2012,14854,51,5,KENTUCK,200,ROGERS,0.531,1535000,1.535,"ROGERS, HAROLD DALLAS"
112,2012,20120,23,8,MICHIGA,200,ROGERS,0.629,1922000,1.922,"ROGERS, MICHAEL J"
112,2012,20947,54,1,TENNESS,200,ROE,0.702,707000,0.707,"ROE, DAVID PHILLIP DR."
112,2012,14922,56,0,WEST VI,100,ROCKEFELLER,-0.382,0,0,
112,2012,21192,41,2,ALABAMA,200,ROBY,0.443,1036000,1.036,"ROBY, MARTHA"
112,2012,14852,32,0,KANSAS,200,ROBERTS,0.44,0,0,
112,2012,21121,43,25,FLORIDA,200,RIVERA,0.367,610000,0.61,"RIVERA, DAVID"
112,2012,40902,63,0,IDAHO,200,RISCH,0.62,0,0,
112,2012,21185,40,2,VIRGINI,200,RIGELL,0.731,2451000,2.451,"RIGELL, EDWARD SCOTT MR."
112,2012,21137,45,2,LOUISIA,100,RICHMOND,-0.439,937000,0.937,"RICHMOND, CEDRIC L."
112,2012,20752,71,37,CALIFOR,100,RICHARDSON,-0.326,0,0,"RICHARDSON, CHARLES"
112,2012,21190,25,8,WISCONS,200,RIBBLE,0.886,2324000,2.324,"RIBBLE, REID"
112,2012,29764,49,16,TEXAS,100,REYES,-0.321,1252000,1.252,"REYES, SILVESTRE"
112,2012,21164,24,16,OHIO,200,RENACCI,0.665,3371000,3.371,"RENACCI, JAMES B"
112,2012,15054,65,0,NEVADA,100,REID,-0.415,0,0,
112,2012,20536,73,8,WASHING,200,REICHERT,0.48,1655000,1.655,"REICHERT, DAVE"
112,2012,20125,64,1,MONTANA,200,REHBERG,0.512,9561000,9.561,"REHBERG, DENNIS RAY"
112,2012,21101,13,29,NEW YOR,200,REED,0.617,2108000,2.108,"REED, THOMAS W II"
112,2012,29142,5,0,RHODE I,100,REED,-0.478,0,0,
112,2012,13035,13,15,NEW YOR,100,RANGEL,-0.423,1461000,1.461,"RANGEL, CHARLES B"
112,2012,14448,56,3,WEST VI,100,RAHALL,-0.323,1359000,1.359,"RAHALL, NICK JOE II"
112,2012,20954,21,5,ILLINOI,100,QUIGLEY,-0.323,729000,0.729,"QUIGLEY, MIKE"
112,2012,21104,61,3,ARIZONA,200,QUAYLE,0.824,2179000,2.179,"QUAYLE, BEN"
112,2012,40301,42,0,ARKANSA,100,PRYOR,-0.205,0,0,
112,2012,20505,44,6,GEORGIA,200,PRICE,0.816,2341000,2.341,"PRICE, THOMAS EDMUNDS"
112,2012,15438,47,4,NORTH C,100,PRICE,-0.412,1141000,1.141,"PRICE, DAVID"
112,2012,20909,43,15,FLORIDA,200,POSEY,0.717,1052000,1.052,"POSEY, BILL"
112,2012,29386,24,0,OHIO,200,PORTMAN,0.404,0,0,
112,2012,21136,32,4,KANSAS,200,POMPEO,0.822,1924000,1.924,"POMPEO, MICHAEL RICHARD"
112,2012,20904,62,2,COLORAD,100,POLIS,-0.327,1150000,1.15,"POLIS, JARED"
112,2012,20528,49,2,TEXAS,200,POE,0.671,966000,0.966,"POE, TED"
112,2012,20135,14,19,PENNSYL,200,PLATTS,0.484,0,0,
112,2012,29752,14,16,PENNSYL,200,PITTS,0.783,1312000,1.312,"PITTS, JOSEPH R."
112,2012,20920,2,1,MAINE,100,PINGREE,-0.483,1025000,1.025,"PINGREE, CHELLIE M"
112,2012,14675,25,6,WISCONS,200,PETRI,0.776,744000,0.744,"PETRI, THOMAS"
112,2012,29127,33,7,MINNESO,100,PETERSON,-0.175,1129000,1.129,"PETERSON, COLLIN CLARK"
112,2012,20923,23,9,MICHIGA,100,PETERS,-0.272,2281000,2.281,"PETERS, GARY"
112,2012,20705,62,7,COLORAD,100,PERLMUTTER,-0.286,2970000,2.97,"PERLMUTTER, EDWIN G"
112,2012,20117,22,6,INDIANA,200,PENCE,0.845,0,0,
112,2012,15448,71,8,CALIFOR,100,PELOSI,-0.398,2305000,2.305,"PELOSI, NANCY"
112,2012,20337,66,2,NEW MEX,200,PEARCE,0.658,1687000,1.687,"PEARCE, STEVE"
112,2012,15619,12,10,NEW JER,100,PAYNE,-0.577,611000,0.611,"PAYNE, DONALD M., JR."
112,2012,31103,12,10,NEW JER,100,PAYNE,-0.42,611000,0.611,"PAYNE, DONALD M., JR."
112,2012,20924,33,3,MINNESO,200,PAULSEN,0.694,3114000,3.114,"PAULSEN, ERIK"
112,2012,41104,51,0,KENTUCK,200,PAUL,1,0,0,
112,2012,14290,49,14,TEXAS,200,PAUL,1.293,0,0,
112,2012,29101,61,4,ARIZONA,100,PASTOR,-0.454,1026000,1.026,"PASTOR, ED L"
112,2012,29741,12,8,NEW JER,100,PASCRELL,-0.403,2861000,2.861,"PASCRELL, WILLIAM J JR"
112,2012,15454,12,6,NEW JER,100,PALLONE,-0.573,1869000,1.869,"PALLONE, FRANK JR"
112,2012,21148,46,4,MISSISS,200,PALAZZO,0.522,927000,0.927,"PALAZZO, STEVEN MCCARTY"
112,2012,20957,13,23,NEW YOR,100,OWENS,-0.178,1997000,1.997,"OWENS, WILLIAM"
112,2012,29123,3,1,MASSACH,100,OLVER,-0.637,0,0,
112,2012,20948,49,22,TEXAS,200,OLSON,0.668,1440000,1.44,"OLSON, PETER G"
112,2012,21147,46,1,MISSISS,200,NUNNELEE,0.588,1470000,1.47,"NUNNELEE, PATRICK ALAN"
112,2012,20307,71,21,CALIFOR,200,NUNES,0.711,1552000,1.552,"NUNES, DEVIN GERALD"
112,2012,21115,43,5,FLORIDA,200,NUGENT,0.718,601000,0.601,"NUGENT, RICHARD B"
112,2012,21177,37,1,SOUTH D,200,NOEM,0.493,2811000,2.811,"NOEM, KRISTI LYNN"
112,2012,20353,49,19,TEXAS,200,NEUGEBAUE,0.803,1561000,1.561,"NEUGEBAUER, RANDY HONORABLE"
112,2012,40103,35,0,NEBRASK,100,NELSON  BEN,-0.014,0,0,
112,2012,14651,43,0,FLORIDA,100,NELSON,-0.249,0,0,"PERRAS, NELSON DAVID"
112,2012,15616,3,2,MASSACH,100,NEAL,-0.468,1794000,1.794,"NEAL, RICHARD E MR."
112,2012,29903,71,38,CALIFOR,100,NAPOLITA,-0.504,0,0,"NAPOLITANO, JOSEPH D."
112,2012,29377,13,8,NEW YOR,100,NADLER,-0.482,1125000,1.125,"NADLER, JERROLD L. MR."
112,2012,29549,47,9,NORTH C,200,MYRICK,0.784,0,0,
112,2012,49308,73,0,WASHING,100,MURRAY,-0.391,0,0,
112,2012,20707,1,5,CONNECT,100,MURPHY,-0.29,10543000,10.543,"MURPHY, CHRISTOPHER S"
112,2012,20346,14,18,PENNSYL,200,MURPHY,0.392,2386000,2.386,"MURPHY, TIM"
112,2012,40300,81,0,ALASKA,200,MURKOWSKI,0.187,0,0,
112,2012,21176,48,5,SOUTH C,200,MULVANEY,1,798000,0.798,"MULVANEY, JOHN MICHAEL 'MICK'"
112,2012,29722,32,0,KANSAS,200,MORAN,0.44,0,0,
112,2012,29149,40,8,VIRGINI,100,MORAN,-0.337,1102000,1.102,"MORAN, JAMES P JR"
112,2012,20537,25,4,WISCONS,100,MOORE,-0.538,823000,0.823,"MOORE, GWENDOLYNNE"
112,2012,14256,71,7,CALIFOR,100,MILLER,-0.657,0,0,
112,2012,29905,71,42,CALIFOR,200,MILLER,0.63,0,0,
112,2012,20110,43,1,FLORIDA,200,MILLER,0.814,732000,0.732,"MILLER, JEFFERSON B."
112,2012,20331,23,10,MICHIGA,200,MILLER,0.626,674000,0.674,"MILLER, CANDICE S."
112,2012,20341,47,13,NORTH C,100,MILLER,-0.371,0,0,
112,2012,14440,52,0,MARYLAN,100,MIKULSKI,-0.406,0,0,
112,2012,20328,2,2,MAINE,100,MICHAUD,-0.278,1222000,1.222,"MICHAUD, MICHAEL H."
112,2012,29331,43,7,FLORIDA,200,MICA,0.676,2068000,2.068,"MICA, JOHN L. MR."
112,2012,40908,72,0,OREGON,100,MERKLEY,-0.441,0,0,
112,2012,29373,12,0,NEW JER,100,MENENDEZ,-0.44,12290000,12.29,"MENENDEZ, ROBERT"
112,2012,29776,13,6,NEW YOR,100,MEEKS,-0.34,741000,0.741,"MEEKS, GREGORY W."
112,2012,21168,14,7,PENNSYL,200,MEEHAN,0.356,2615000,2.615,"MEEHAN, PATRICK L. MR. JR."
112,2012,20702,71,11,CALIFOR,100,MCNERNEY,-0.225,2533000,2.533,"MCNERNEY, JERRY"
112,2012,20535,73,5,WASHING,200,MCMORRIS RO,0.598,0,0,
112,2012,21188,56,1,WEST VI,200,MCKINLEY,0.397,2136000,2.136,"MCKINLEY, DAVID B."
112,2012,29315,71,25,CALIFOR,200,MCKEON,0.62,1980000,1.98,"MCKEON, HOWARD P. 'BUCK'"
112,2012,29746,47,7,NORTH C,100,MCINTYRE,-0.138,2304000,2.304,"MCINTYRE, MIKE REP."
112,2012,20522,47,10,NORTH C,200,MCHENRY,0.765,1230000,1.23,"MCHENRY, PATRICK TIMOTHY"
112,2012,29729,3,3,MASSACH,100,MCGOVERN,-0.564,1069000,1.069,"MCGOVERN, JIM"
112,2012,15613,73,7,WASHING,100,MCDERMOT,-0.722,612000,0.612,"MCDERMOTT, JAMES"
112,2012,20332,23,11,MICHIGA,200,MCCOTTER,0.601,0,0,
112,2012,14921,51,0,KENTUCK,200,MCCONNELL,0.526,0,0,
112,2012,20122,33,4,MINNESO,100,MCCOLLUM,-0.414,932000,0.932,"MCCOLLUM, BETTY"
112,2012,20903,71,4,CALIFOR,200,MCCLINTOCK,0.994,1192000,1.192,"MCCLINTOCK, THOMAS"
112,2012,20530,49,10,TEXAS,200,MCCAUL,0.62,1324000,1.324,"MCCAUL, MICHAEL"
112,2012,40701,34,0,MISSOUR,100,MCCASKILL,-0.214,18840000,18.84,"MCCASKILL, CLAIRE"
112,2012,20703,71,22,CALIFOR,200,MCCARTHY,0.652,4660000,4.66,"MCCARTHY, KEVIN"
112,2012,29744,13,4,NEW YOR,100,MCCARTHY,-0.284,2278000,2.278,"MCCARTHY, CAROLYN"
112,2012,15039,61,0,ARIZONA,200,MCCAIN,0.416,0,0,
112,2012,20538,71,5,CALIFOR,100,MATSUI,-0.428,908000,0.908,"MATSUI, DORIS"
112,2012,20140,67,2,UTAH,100,MATHESON,-0.085,2360000,2.36,"MATHESON, JAMES D"
112,2012,31102,51,4,KENTUCK,200,MASSIE,0.98,1090000,1.09,"MASSIE, THOMAS H."
112,2012,14435,3,7,MASSACH,100,MARKEY,-0.565,1092000,1.092,"MARKEY, EDWARD JOHN"
112,2012,21170,14,10,PENNSYL,200,MARINO,0.471,827000,0.827,"MARINO, THOMAS ANTHONY"
112,2012,20532,49,24,TEXAS,200,MARCHANT,0.713,830000,0.83,"MARCHANT, KENNY E MR."
112,2012,29349,21,16,ILLINOI,200,MANZULLO,0.725,1068000,1.068,"MANZULLO, DONALD A."
112,2012,40915,56,0,WEST VI,100,MANCHIN,-0.128,5072000,5.072,"MANCHIN, JOE III"
112,2012,29379,13,14,NEW YOR,100,MALONEY,-0.388,2257000,2.257,"MALONEY, SEAN PATRICK"
112,2012,20503,43,14,FLORIDA,200,MACK,0.803,7272000,7.272,"MACK, CONNIE"
112,2012,20119,3,9,MASSACH,100,LYNCH,-0.376,730000,0.73,"LYNCH, STEPHEN F"
112,2012,14647,71,3,CALIFOR,200,LUNGREN,0.712,2703000,2.703,"LUNGREN, DANIEL E."
112,2012,20953,68,1,WYOMING,200,LUMMIS,0.932,715000,0.715,"LUMMIS, CYNTHIA MARIE"
112,2012,20932,66,3,NEW MEX,100,LUJAN,-0.346,1103000,1.103,"LUJAN, BEN R MR."
112,2012,14506,22,0,INDIANA,200,LUGAR,0.237,4870000,4.87,"LUGAR, RICHARD G"
112,2012,20926,34,9,MISSOUR,200,LUETKEMEYER,0.64,1483000,1.483,"LUETKEMEYER, W BLAINE"
112,2012,29393,53,3,OKLAHOM,200,LUCAS,0.512,1624000,1.624,"LUCAS, FRANK D."
112,2012,15612,13,18,NEW YOR,100,LOWEY,-0.335,2166000,2.166,"LOWEY, NITA M"
112,2012,21150,34,7,MISSOUR,200,LONG,0.743,924000,0.924,"LONG, BILLY"
112,2012,29504,71,16,CALIFOR,100,LOFGREN,-0.42,859000,0.859,"LOFGREN, ZOE"
112,2012,20720,31,2,IOWA,100,LOEBSACK,-0.308,1563000,1.563,"LOEBSACK, DAVID WAYNE"
112,2012,29539,12,2,NEW JER,200,LOBIONDO,0.446,1566000,1.566,"LOBIONDO, FRANK A."
112,2012,20508,21,3,ILLINOI,100,LIPINSKI,-0.258,826000,0.826,"LIPINSKI, DANIEL"
112,2012,15704,1,0,CONNECT,100,LIEBERMAN,-0.285,0,0,"LIEBERMAN, JOSEPH"
112,2012,14644,71,41,CALIFOR,200,LEWIS,0.562,0,0,
112,2012,15431,44,5,GEORGIA,100,LEWIS,-0.582,1238000,1.238,"LEWIS, JOHN R."
112,2012,14709,23,0,MICHIGA,100,LEVIN  CARL,-0.458,0,0,
112,2012,15033,23,12,MICHIGA,100,LEVIN,-0.337,1837000,1.837,"LEVIN, SANDER M MR"
112,2012,29778,71,9,CALIFOR,100,LEE,-0.694,1167000,1.167,"LEE, BARBARA"
112,2012,41110,67,0,UTAH,200,LEE,0.999,0,0,"LEE, MIKE"
112,2012,14307,6,0,VERMONT,100,LEAHY,-0.452,0,0,"LEAHY, PATRICK"
112,2012,14914,12,0,NEW JER,100,LAUTENBERG,-0.5,0,0,
112,2012,20755,24,5,OHIO,200,LATTA,0.655,1112000,1.112,"LATTA, ROBERT EDWARD MR"
112,2012,29553,24,14,OHIO,200,LATOURET,0.438,0,0,
112,2012,29522,31,4,IOWA,200,LATHAM,0.475,3413000,3.413,"LATHAM, THOMAS"
112,2012,29908,1,1,CONNECT,100,LARSON,-0.434,2019000,2.019,"LARSON, JOHN B"
112,2012,20145,73,2,WASHING,100,LARSEN,-0.329,1356000,1.356,"LARSEN, RICK"
112,2012,21166,53,5,OKLAHOM,200,LANKFORD,0.703,1156000,1.156,"LANKFORD, JAMES PAUL"
112,2012,20136,5,2,RHODE I,100,LANGEVIN,-0.356,1103000,1.103,"LANGEVIN, JAMES R"
112,2012,21138,45,3,LOUISIA,200,LANDRY,0.858,2310000,2.31,"LANDRY, JEFFREY M"
112,2012,49702,45,0,LOUISIA,100,LANDRIEU,-0.237,8000,0.008,"LANDRIEU, GARY C"
112,2012,20929,12,7,NEW JER,200,LANCE,0.633,1321000,1.321,"LANCE, LEONARD"
112,2012,20704,62,5,COLORAD,200,LAMBORN,0.842,721000,0.721,"LAMBORN, DOUGLAS"
112,2012,21125,63,1,IDAHO,200,LABRADOR,0.984,830000,0.83,"LABRADOR, RAUL"
112,2012,15429,61,0,ARIZONA,200,KYL,0.548,0,0,
112,2012,29748,24,10,OHIO,100,KUCINICH,-0.779,0,0,"KUCINICH, DENNIS J"
112,2012,15703,25,0,WISCONS,100,KOHL,-0.314,0,0,
112,2012,40700,33,0,MINNESO,100,KLOBUCHAR,-0.27,7258000,7.258,"KLOBUCHAR, AMY J"
112,2012,20333,33,2,MINNESO,200,KLINE,0.759,2353000,2.353,"KLINE, JOHN PAUL JR"
112,2012,20938,47,8,NORTH C,100,KISSELL,-0.161,1303000,1.303,"KISSELL, LARRY W"
112,2012,20115,21,0,ILLINOI,200,KIRK,0.282,0,0,
112,2012,21128,21,11,ILLINOI,200,KINZINGER,0.448,2034000,2.034,"KINZINGER, ADAM"
