CongNumb,Year,ICPSR,District,State,State_abbrv,State_full,lookup,Dist_lat,Dist_long,ST_lat,ST_long,Party,House,Party_name,Name,IdeologicalRank,TotalReceipts,FEC_YR_lookup,RepName_FEC,URL_FEC,Rep_Lookup,RepName_ipcsr
110,2008,14400,00,HAWAII,HI,Hawaii,110_HI_00,21.1098,-157.5311,21.1098,-157.5311,100,Senate,Democrat,AKAKA,-0.447,0,---No Data_2008,---No Data Available---,---No Data Available---,"Akaka, Da","Akaka, Daniel K."
111,2010,14400,00,HAWAII,HI,Hawaii,111_HI_00,21.1098,-157.5311,21.1098,-157.5311,100,Senate,Democrat,AKAKA,-0.453,0,---No Data_2010,---No Data Available---,---No Data Available---,"Akaka, Da","Akaka, Daniel K."
112,2012,14400,00,HAWAII,HI,Hawaii,112_HI_00,21.1098,-157.5311,21.1098,-157.5311,100,Senate,Democrat,AKAKA,-0.458,0,---No Data_2012,---No Data Available---,---No Data Available---,"Akaka, Da","Akaka, Daniel K."
110,2008,20123,02,MISSOUR,MO,Missouri,110_MO_02,38.638318,-90.427118,38.4623,-92.302,200,House of Representatives,Republican,AKIN,0.761,966372.9,"AKIN, W TO_2008","AKIN, W TODD",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MO02148&tabIndex=1,"Akin, W.","Akin, W. Todd"
111,2010,20123,02,MISSOUR,MO,Missouri,111_MO_02,38.638318,-90.427118,38.4623,-92.302,200,House of Representatives,Republican,AKIN,0.754,767798.19,"AKIN, W TO_2010","AKIN, W TODD",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MO02148&tabIndex=1,"Akin, W.","Akin, W. Todd"
112,2012,20123,02,MISSOUR,MO,Missouri,112_MO_02,38.890887,-90.760623,38.4623,-92.302,200,House of Representatives,Republican,AKIN,0.746,5621685.45,"AKIN, W TO_2012","AKIN, W TODD",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2MO00429&tabIndex=1,"Akin, W.","Akin, W. Todd"
110,2008,40304,00,TENNESS,TN,Tennessee,110_TN_00,35.7449,-86.7489,35.7449,-86.7489,200,Senate,Republican,ALEXANDER,0.323,5791640,"ALEXANDER, LAM_2008","ALEXANDER, LAMAR",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TN00058&tabIndex=1,"Alexander, La","Alexander, Lamar"
111,2010,40304,00,TENNESS,TN,Tennessee,111_TN_00,35.7449,-86.7489,35.7449,-86.7489,200,Senate,Republican,ALEXANDER,0.309,304780,"ALEXANDER, LAM_2010","ALEXANDER, LAMAR",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TN00058&tabIndex=1,"Alexander, La","Alexander, Lamar"
112,2012,40304,00,TENNESS,TN,Tennessee,112_TN_00,35.7449,-86.7489,35.7449,-86.7489,200,Senate,Republican,ALEXANDER,0.294,276505,"ALEXANDER, LAM_2012","ALEXANDER, LAMAR",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TN00058&tabIndex=1,"Alexander, La","Alexander, Lamar"
110,2008,90327,05,LOUISIA,LA,Louisianna,110_LA_05,30.63,-92.42652,31.1801,-91.8749,200,House of Representatives,Republican,ALEXANDER,0.5,911239.33,"ALEXANDER, ROD_2008","ALEXANDER, RODNEY MR.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2LA05084&tabIndex=1,"Alexander, Rod","Alexander, Rodney"
111,2010,90327,05,LOUISIA,LA,Louisianna,111_LA_05,30.63,-92.42652,31.1801,-91.8749,200,House of Representatives,Republican,ALEXANDER,0.5,1263054.53,"ALEXANDER, ROD_2010","ALEXANDER, RODNEY MR.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2LA05084&tabIndex=1,"Alexander, Rod","Alexander, Rodney"
112,2012,90327,05,LOUISIA,LA,Louisianna,112_LA_05,31.89479,-92.032676,31.1801,-91.8749,200,House of Representatives,Republican,ALEXANDER,0.5,1400551.28,"ALEXANDER, ROD_2012","ALEXANDER, RODNEY MR.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2LA05084&tabIndex=1,"Alexander, Rod","Alexander, Rodney"
110,2008,29108,00,COLORAD,CO,Colorado,110_CO_00,39.0646,-105.3272,39.0646,-105.3272,200,Senate,Republican,ALLARD,0.612,0,---No Data_2008,---No Data Available---,---No Data Available---,"Allard, Wa","Allard, Wayne R."
110,2008,29728,01,MAINE,ME,Maine,110_ME_01,43.319125,-70.818318,44.6074,-69.3977,100,House of Representatives,Democrat,ALLEN,-0.368,5998773,"ALLEN, THO_2008","ALLEN, THOMAS H",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8ME00080&tabIndex=1,"Allen, Th","Allen, Thomas H."
110,2008,20743,04,PENNSYL,PA,Pennsylvania,110_PA_04,40.603966,-80.28776,40.5773,-77.264,100,House of Representatives,Democrat,ALTMIRE,-0.137,2945103.65,"ALTMIRE, J_2008","ALTMIRE, JASON",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA04110&tabIndex=1,"Altmire, Ja","Altmire, Jason"
111,2010,20743,04,PENNSYL,PA,Pennsylvania,111_PA_04,40.603966,-80.28776,40.5773,-77.264,100,House of Representatives,Democrat,ALTMIRE,-0.137,2503952.56,"ALTMIRE, J_2010","ALTMIRE, JASON",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA04110&tabIndex=1,"Altmire, Ja","Altmire, Jason"
112,2012,20743,04,PENNSYL,PA,Pennsylvania,112_PA_04,40.762001,-80.19641,40.5773,-77.264,100,House of Representatives,Democrat,ALTMIRE,-0.137,1636260.54,"ALTMIRE, J_2012","ALTMIRE, JASON",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA04110&tabIndex=1,"Altmire, Ja","Altmire, Jason"
112,2012,21143,03,MICHIGA,MI,Michigan,112_MI_03,42.864178,-85.321503,43.3504,-84.5603,200,House of Representatives,Republican,AMASH,0.997,1361048.44,"AMASH, JUS_2012","AMASH, JUSTIN",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI03126&tabIndex=1,"Amash, Ju","Amash, Justin"
110,2008,29132,01,NEW JER,NJ,New Jersey,110_NJ_01,39.868013,-75.05424,40.314,-74.5089,100,House of Representatives,Democrat,ANDREWS,-0.344,1618561.39,"ANDREWS, R_2008","ANDREWS, ROBERT E",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ01066&tabIndex=1,"Andrews, Ro","Andrews, Robert E."
111,2010,29132,01,NEW JER,NJ,New Jersey,111_NJ_01,39.868013,-75.05424,40.314,-74.5089,100,House of Representatives,Democrat,ANDREWS,-0.367,1455171.76,"ANDREWS, R_2010","ANDREWS, ROBERT E",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ01066&tabIndex=1,"Andrews, Ro","Andrews, Robert E."
112,2012,29132,01,NEW JER,NJ,New Jersey,112_NJ_01,39.783457,-75.062621,40.314,-74.5089,100,House of Representatives,Democrat,ANDREWS,-0.389,1510757.47,"ANDREWS, R_2012","ANDREWS, ROBERT E",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ01066&tabIndex=1,"Andrews, Ro","Andrews, Robert E."
110,2008,20736,24,NEW YOR,NY,New York,110_NY_24,42.922273,-76.55882,42.1497,-74.9384,100,House of Representatives,Democrat,ARCURI,-0.196,1612043.45,"ARCURI, MI_2008","ARCURI, MICHAEL A",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY24128&tabIndex=1,"Arcuri, Mi","Arcuri, Michael A."
111,2010,20736,24,NEW YOR,NY,New York,111_NY_24,42.922273,-76.55882,42.1497,-74.9384,100,House of Representatives,Democrat,ARCURI,-0.196,1863853.81,"ARCURI, MI_2010","ARCURI, MICHAEL A",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY24128&tabIndex=1,"Arcuri, Mi","Arcuri, Michael A."
111,2010,20940,07,OHIO,OH,Ohio,111_OH_07,40.000364,-83.62142,40.3736,-82.7755,200,House of Representatives,Republican,AUSTRIA,0.537,785805.91,"AUSTRIA, S_2010","AUSTRIA, STEVE C",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8OH07065&tabIndex=1,"Austria, St","Austria, Steve"
112,2012,20940,07,OHIO,OH,Ohio,112_OH_07,39.701373,-83.14278,40.3736,-82.7755,200,House of Representatives,Republican,AUSTRIA,0.537,563762,"AUSTRIA, S_2012","AUSTRIA, STEVE C",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8OH07065&tabIndex=1,"Austria, St","Austria, Steve"
112,2012,41106,00,NEW HAM,NH,New Hampshire,112_NH_00,43.4108,-71.5653,43.4108,-71.5653,200,Senate,Republican,AYOTTE,0.48,5389780,"AYOTTE, KE_2012","AYOTTE, KELLY A",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NH00235&tabIndex=1,"Ayotte, Ke","Ayotte, Kelly"
110,2008,29942,43,CALIFOR,CA,California,110_CA_43,34.066655,-117.58831,36.17,-119.7462,100,House of Representatives,Democrat,BACA,-0.327,941700.85,"BACA, JOE_2008","BACA, JOE",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA42099&tabIndex=1,"Baca, Jo","Baca, Joe"
111,2010,29942,43,CALIFOR,CA,California,111_CA_43,34.066655,-117.58831,36.17,-119.7462,100,House of Representatives,Democrat,BACA,-0.337,758696.3,"BACA, JOE_2010","BACA, JOE",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA42099&tabIndex=1,"Baca, Jo","Baca, Joe"
112,2012,29942,43,CALIFOR,CA,California,112_CA_43,34.090311,-117.445545,36.17,-119.7462,100,House of Representatives,Democrat,BACA,-0.346,1046528.46,"BACA, JOE_2012","BACA, JOE",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA42099&tabIndex=1,"Baca, Jo","Baca, Joe"
110,2008,20728,06,MINNESO,MN,Minnesota,110_MN_06,44.903133,-92.81904,45.7326,-93.9196,200,House of Representatives,Republican,BACHMANN,0.759,3493814.46,"BACHMANN, _2008","BACHMANN, MICHELE",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MN06074&tabIndex=1,"Bachmann, Mi","Bachmann, Michele"
111,2010,20728,06,MINNESO,MN,Minnesota,111_MN_06,44.903133,-92.81904,45.7326,-93.9196,200,House of Representatives,Republican,BACHMANN,0.759,13567811.19,"BACHMANN, _2010","BACHMANN, MICHELE",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MN06074&tabIndex=1,"Bachmann, Mi","Bachmann, Michele"
112,2012,20728,06,MINNESO,MN,Minnesota,112_MN_06,45.383003,-93.884589,45.7326,-93.9196,200,House of Representatives,Republican,BACHMANN,0.759,25894721.16,"BACHMANN, _2012","BACHMANN, MICHELE",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MN06074&tabIndex=1,"Bachmann, Mi","Bachmann, Michele"
110,2008,29301,06,ALABAMA,AL,Alabama,110_AL_06,33.606379,-86.50249,32.799,-86.8073,200,House of Representatives,Republican,BACHUS,0.565,1460651.33,"BACHUS, SP_2008","BACHUS, SPENCER T.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AL06035&tabIndex=1,"Bachus, Sp","Bachus, Spencer"
111,2010,29301,06,ALABAMA,AL,Alabama,111_AL_06,33.606379,-86.50249,32.799,-86.8073,200,House of Representatives,Republican,BACHUS,0.576,1415671.8,"BACHUS, SP_2010","BACHUS, SPENCER T.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AL06035&tabIndex=1,"Bachus, Sp","Bachus, Spencer"
112,2012,29301,06,ALABAMA,AL,Alabama,112_AL_06,33.272393,-86.880636,32.799,-86.8073,200,House of Representatives,Republican,BACHUS,0.586,2725003.77,"BACHUS, SP_2012","BACHUS, SPENCER T.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AL06035&tabIndex=1,"Bachus, Sp","Bachus, Spencer"
110,2008,29938,03,WASHING,WA,Washington,110_WA_03,46.53619,-122.11766,47.3917,-121.5708,100,House of Representatives,Democrat,BAIRD,-0.315,741626.75,"BAIRD, BRI_2008","BAIRD, BRIAN N.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6WA03135&tabIndex=1,"Baird, Br","Baird, Brian"
111,2010,29938,03,WASHING,WA,Washington,111_WA_03,46.53619,-122.11766,47.3917,-121.5708,100,House of Representatives,Democrat,BAIRD,-0.277,147941,"BAIRD, BRI_2010","BAIRD, BRIAN N.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6WA03135&tabIndex=1,"Baird, Br","Baird, Brian"
110,2008,15401,06,LOUISIA,LA,Louisianna,110_LA_06,30.867259,-90.74688,31.1801,-91.8749,200,House of Representatives,Republican,BAKER,0.561,29175.51,"BAKER, RIC_2008","BAKER, RICHARD A JR",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MA06083&tabIndex=1,"Baker, Ri","Baker, Richard H."
110,2008,29940,02,WISCONS,WI,Wisconsin,110_WI_02,42.605454,-89.070448,44.2563,-89.6385,100,House of Representatives,Democrat,BALDWIN,-0.554,1471571.39,"BALDWIN, T_2008","BALDWIN, TAMMY",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI00018&tabIndex=1,"Baldwin, Ta","Baldwin, Tammy"
111,2010,29940,02,WISCONS,WI,Wisconsin,111_WI_02,42.605454,-89.070448,44.2563,-89.6385,100,House of Representatives,Democrat,BALDWIN,-0.554,1197113.57,"BALDWIN, T_2010","BALDWIN, TAMMY",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI00018&tabIndex=1,"Baldwin, Ta","Baldwin, Tammy"
112,2012,29940,02,WISCONS,WI,Wisconsin,112_WI_02,43.063961,-89.347713,44.2563,-89.6385,100,House of Representatives,Democrat,BALDWIN,-0.554,15089725.69,"BALDWIN, T_2012","BALDWIN, TAMMY",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI00018&tabIndex=1,"Baldwin, Ta","Baldwin, Tammy"
112,2012,21171,11,PENNSYL,PA,Pennsylvania,112_PA_11,41.062446,-75.83939,40.5773,-77.264,200,House of Representatives,Republican,BARLETTA,0.381,1334027.37,"BARLETTA, _2012","BARLETTA, LOU",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2PA11098&tabIndex=1,"Barletta, Lo","Barletta, Lou"
110,2008,40707,00,WYOMING,WY,Wyoming,110_WY_00,42.7475,-107.2085,42.7475,-107.2085,200,Senate,Republican,BARRASSO,0.583,2585977,"BARRASSO, _2008","BARRASSO, JOHN A",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6WY00068&tabIndex=1,"Barrasso, Jo","Barrasso, John A."
111,2010,40707,00,WYOMING,WY,Wyoming,111_WY_00,42.7475,-107.2085,42.7475,-107.2085,200,Senate,Republican,BARRASSO,0.583,525534,"BARRASSO, _2010","BARRASSO, JOHN A",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6WY00068&tabIndex=1,"Barrasso, Jo","Barrasso, John A."
112,2012,40707,00,WYOMING,WY,Wyoming,112_WY_00,42.7475,-107.2085,42.7475,-107.2085,200,Senate,Republican,BARASSO,0.583,4012162,"BARRASSO, _2012","BARRASSO, JOHN A",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6WY00068&tabIndex=1,"Barrasso, Jo","Barrasso, John A."
110,2008,20347,03,SOUTH C,SC,South Carolina,110_SC_03,33.831118,-81.59772,33.8191,-80.9066,200,House of Representatives,Republican,BARRETT,0.826,1182189.76,"BARRETT, G_2008","BARRETT, GRESHAM",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2SC03057&tabIndex=1,"Barrett, Gr","Barrett, Gresham"
111,2010,20347,03,SOUTH C,SC,South Carolina,111_SC_03,33.831118,-81.59772,33.8191,-80.9066,200,House of Representatives,Republican,BARRETT,0.826,101812,"BARRETT, G_2010","BARRETT, GRESHAM",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2SC03057&tabIndex=1,"Barrett, Gr","Barrett, Gresham"
110,2008,20507,12,GEORGIA,GA,Georgia,110_GA_12,32.605196,-82.3391,32.9866,-83.6487,100,House of Representatives,Democrat,BARROW,-0.086,2299747.01,"BARROW, JO_2008","BARROW, JOHN J",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4GA12010&tabIndex=1,"Barrow, Jo","Barrow, John"
111,2010,20507,12,GEORGIA,GA,Georgia,111_GA_12,32.605196,-82.3391,32.9866,-83.6487,100,House of Representatives,Democrat,BARROW,-0.086,1951721.34,"BARROW, JO_2010","BARROW, JOHN J",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4GA12010&tabIndex=1,"Barrow, Jo","Barrow, John"
112,2012,20507,12,GEORGIA,GA,Georgia,112_GA_12,32.728059,-82.209105,32.9866,-83.6487,100,House of Representatives,Democrat,BARROW,-0.086,2876917.75,"BARROW, JO_2012","BARROW, JOHN J",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4GA12010&tabIndex=1,"Barrow, Jo","Barrow, John"
110,2008,29356,06,MARYLAN,MD,Maryland,110_MD_06,39.284185,-77.22752,39.0724,-76.7902,200,House of Representatives,Republican,BARTLETT,0.713,362220.59,"BARTLETT, _2008","BARTLETT, ROSCOE G. JR.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2MD06054&tabIndex=1,"Bartlett, Ro","Bartlett, Roscoe G."
111,2010,29356,06,MARYLAN,MD,Maryland,111_MD_06,39.284185,-77.22752,39.0724,-76.7902,200,House of Representatives,Republican,BARTLETT,0.728,334112.78,"BARTLETT, _2010","BARTLETT, ROSCOE G. JR.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2MD06054&tabIndex=1,"Bartlett, Ro","Bartlett, Roscoe G."
112,2012,29356,06,MARYLAN,MD,Maryland,112_MD_06,39.55823,-77.862931,39.0724,-76.7902,200,House of Representatives,Republican,BARTLETT,0.743,1160262.71,"BARTLETT, _2012","BARTLETT, ROSCOE G. JR.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2MD06054&tabIndex=1,"Bartlett, Ro","Bartlett, Roscoe G."
110,2008,15085,06,TEXAS,TX,Texas,110_TX_06,32.267846,-96.6967,31.106,-97.6475,200,House of Representatives,Republican,BARTON,0.68,1517025.9,"BARTON, JO_2008","BARTON, JOE LINUS",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX06117&tabIndex=1,"Barton, Jo","Barton, Joe L."
111,2010,15085,06,TEXAS,TX,Texas,111_TX_06,32.267846,-96.6967,31.106,-97.6475,200,House of Representatives,Republican,BARTON,0.691,2377714.98,"BARTON, JO_2010","BARTON, JOE LINUS",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX06117&tabIndex=1,"Barton, Jo","Barton, Joe L."
112,2012,15085,06,TEXAS,TX,Texas,112_TX_06,31.699152,-96.098575,31.106,-97.6475,200,House of Representatives,Republican,BARTON,0.702,1535592.48,"BARTON, JO_2012","BARTON, JOE LINUS",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX06117&tabIndex=1,"Barton, Jo","Barton, Joe L."
112,2012,29538,02,NEW HAM,NH,New Hampshire,112_NH_02,43.764181,-71.721452,43.4108,-71.5653,200,House of Representatives,Republican,BASS,0.642,2066087.83,"BASS, CHAR_2012","BASS, CHARLES F.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NH02017&tabIndex=1,"Bass, Ch","Bass, Charles F."
112,2012,21110,33,CALIFOR,CA,California,112_CA_33,34.033781,-118.337787,36.17,-119.7462,100,House of Representatives,Democrat,BASS,-0.532,692988.53,"BASS, KARE_2012","BASS, KAREN",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA33117&tabIndex=1,"Bass, Ka","Bass, Karen"
110,2008,14203,00,MONTANA,MT,Montana,110_MT_00,46.9048,-110.3261,46.9048,-110.3261,100,Senate,Democrat,BAUCUS,-0.201,8433751,"BAUCUS, MA_2008","BAUCUS, MAX",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MT00010&tabIndex=1,"Baucus, Ma","Baucus, Max"
111,2010,14203,00,MONTANA,MT,Montana,111_MT_00,46.9048,-110.3261,46.9048,-110.3261,100,Senate,Democrat,BAUCUS,-0.194,1428917,"BAUCUS, MA_2010","BAUCUS, MAX",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MT00010&tabIndex=1,"Baucus, Ma","Baucus, Max"
112,2012,14203,00,MONTANA,MT,Montana,112_MT_00,46.9048,-110.3261,46.9048,-110.3261,100,Senate,Democrat,BAUCUS,-0.186,2675883,"BAUCUS, MA_2012","BAUCUS, MAX",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MT00010&tabIndex=1,"Baucus, Ma","Baucus, Max"
110,2008,49901,00,INDIANA,IN,Indiana,110_IN_00,39.8647,-86.2604,39.8647,-86.2604,100,Senate,Democrat,BAYH,-0.149,0,"BAYH, EVAN_2008","BAYH, EVAN",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P80003296&tabIndex=1,"Bayh, Ev","Bayh, Evan"
111,2010,49901,00,INDIANA,IN,Indiana,111_IN_00,39.8647,-86.2604,39.8647,-86.2604,100,Senate,Democrat,BAYH,-0.11,0,"BAYH, EVAN_2010","BAYH, EVAN",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P80003296&tabIndex=1,"Bayh, Ev","Bayh, Evan"
110,2008,20509,08,ILLINOI,IL,Illinois,110_IL_08,42.324761,-88.452481,40.3363,-89.0022,100,House of Representatives,Democrat,BEAN,-0.179,3107770.59,"BEAN, MELI_2008","BEAN, MELISSA LUBURICH",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IL08088&tabIndex=1,"Bean, Me","Bean, Melissa L."
111,2010,20509,08,ILLINOI,IL,Illinois,111_IL_08,42.324761,-88.452481,40.3363,-89.0022,100,House of Representatives,Democrat,BEAN,-0.179,2292879.17,"BEAN, MELI_2010","BEAN, MELISSA LUBURICH",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IL08088&tabIndex=1,"Bean, Me","Bean, Melissa L."
